<Name>,<TICKER>,<PER>,<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICAPITAL.BIZ BERHAD (5108.KL),ICAP.KL,D,20170512,2.5700,2.5900,2.5600,2.5700,373,0
AHMAD ZAKI RESOURCES BERHAD [S] (7078.KL),AZRB.KL,D,20170512,1.1500,1.1500,1.1000,1.1500,22639,0
BENALEC HOLDINGS BERHAD [S] (5190.KL),BENALEC.KL,D,20170512,0.5050,0.5100,0.5000,0.5000,23918,0
BINA PURI HOLDINGS BHD (5932.KL),BPURI.KL,D,20170512,0.4500,0.4500,0.4400,0.4400,4474,0
BREM HOLDING BERHAD (8761.KL),BREM.KL,D,20170512,0.9050,0.9050,0.9000,0.9050,1153,0
CREST BUILDER HOLDINGS BERHAD [S] (8591.KL),CRESBLD.KL,D,20170512,1.0000,1.0000,0.9850,0.9950,1798,0
DKLS INDUSTRIES BHD [S] (7528.KL),DKLS.KL,D,20170512,1.8700,2.0200,1.8700,2.0000,640,0
ECONPILE HOLDINGS BERHAD (5253.KL),ECONBHD.KL,D,20170512,2.3200,2.4100,2.3200,2.3500,32225,0
EKOVEST BERHAD [S] (8877.KL),EKOVEST.KL,D,20170512,1.2300,1.2400,1.2000,1.2200,147196,0
EVERSENDAI CORPORATION BERHAD (5205.KL),SENDAI.KL,D,20170512,1.0000,1.0200,0.9900,0.9900,31166,0
GABUNGAN AQRS BERHAD [S] (5226.KL),GBGAQRS.KL,D,20170512,1.2900,1.3100,1.2900,1.3100,2160,0
GADANG HOLDINGS BHD [S] (9261.KL),GADANG.KL,D,20170512,1.3000,1.3200,1.3000,1.3100,40078,0
GAMUDA BERHAD [S] (5398.KL),GAMUDA.KL,D,20170512,5.3500,5.4000,5.3400,5.4000,50523,0
HO HUP CONSTRUCTION COMPANY BHD [S] (5169.KL),HOHUP.KL,D,20170512,0.8350,0.8350,0.8300,0.8300,3710,0
HOCK SENG LEE BERHAD [S] (6238.KL),HSL.KL,D,20170512,1.7500,1.7500,1.7000,1.7100,892,0
IJM CORPORATION BERHAD [S] (3336.KL),IJM.KL,D,20170512,3.5600,3.5700,3.5300,3.5400,44758,0
IKHMAS,IKHMAS.KL,D,20170512,0.7050,0.7200,0.7050,0.7100,14055,0
IREKA CORPORATION BERHAD (8834.KL),IREKA.KL,D,20170512,0.6350,0.6400,0.6300,0.6400,195,0
JAKS RESOURCES BERHAD (4723.KL),JAKS.KL,D,20170512,1.6200,1.6200,1.5900,1.6100,13239,0
KERJAYA,KERJAYA.KL,D,20170512,3.1300,3.1300,3.1000,3.1100,6259,0
KIMLUN CORPORATION BERHAD [S] (5171.KL),KIMLUN.KL,D,20170512,2.3100,2.3100,2.3000,2.3100,1209,0
LEBTECH BERHAD (9628.KL),LEBTECH.KL,D,20170512,1.5100,1.5100,1.5100,1.5100,0,0
MALAYSIAN RESOURCES CORPORATION BERHAD [S] (1651.KL),MRCB.KL,D,20170512,1.7400,1.7500,1.7100,1.7300,84886,0
MELATI EHSAN HOLDINGS BERHAD [S] (5129.KL),MELATI.KL,D,20170512,0.8500,0.8500,0.8500,0.8500,0,0
MERGE ENERGY BHD [S] (5006.KL),MERGE.KL,D,20170512,0.3100,0.3100,0.3100,0.3100,100,0
MITRAJAYA HOLDINGS BERHAD [S] (9571.KL),MITRA.KL,D,20170512,1.3800,1.3800,1.3600,1.3700,27698,0
MTD ACPI ENGINEERING BERHAD [S] (5924.KL),MTDACPI.KL,D,20170512,0.3650,0.3700,0.3650,0.3700,1550,0
MUDAJAYA GROUP BERHAD [S] (5085.KL),MUDAJYA.KL,D,20170512,1.1800,1.1800,1.1400,1.1500,4384,0
MUHIBBAH ENGINEERING (M) BHD [S] (5703.KL),MUHIBAH.KL,D,20170512,2.9200,2.9500,2.8700,2.9000,1731,0
PESONA METRO HOLDINGS BERHAD (8311.KL),PESONA.KL,D,20170512,0.6850,0.6900,0.6800,0.6850,4486,0
PINTARAS JAYA BHD [S] (9598.KL),PTARAS.KL,D,20170512,3.5800,3.6100,3.5800,3.6100,400,0
PLB ENGINEERING BERHAD [S] (7055.KL),PLB.KL,D,20170512,1.4600,1.4600,1.4600,1.4600,10,0
PRINSIPTEK CORPORATION BERHAD [S] (7145.KL),PSIPTEK.KL,D,20170512,0.2000,0.2000,0.1950,0.2000,11413,0
PROTASCO BERHAD [S] (5070.KL),PRTASCO.KL,D,20170512,1.0500,1.0700,1.0500,1.0600,16731,0
PUNCAK NIAGA HOLDINGS BERHAD (6807.KL),PUNCAK.KL,D,20170512,0.9800,0.9850,0.9700,0.9800,7849,0
SUNWAY BERHAD [S] (5211.KL),SUNWAY.KL,D,20170512,3.6000,3.6100,3.5500,3.5600,22738,0
SUNCON,SUNCON.KL,D,20170512,2.0500,2.0600,2.0500,2.0500,857,0
TRC SYNERGY BERHAD [S] (5054.KL),TRC.KL,D,20170512,0.6250,0.6300,0.6200,0.6250,4143,0
TSR CAPITAL BERHAD [S] (5042.KL),TSRCAP.KL,D,20170512,0.7250,0.7400,0.7250,0.7250,2473,0
VIZIONE,VIZIONE.KL,D,20170512,0.1350,0.1350,0.1300,0.1350,68565,0
WCEHB,WCEHB.KL,D,20170512,1.6500,1.6700,1.6300,1.6400,16577,0
WCT HOLDINGS BERHAD [S] (9679.KL),WCT.KL,D,20170512,2.2900,2.3100,2.2500,2.2500,61509,0
YTL CORPORATION BERHAD (4677.KL),YTL.KL,D,20170512,1.5000,1.5000,1.4800,1.5000,66266,0
ZELAN BERHAD [S] (2283.KL),ZELAN.KL,D,20170512,0.1550,0.1550,0.1550,0.1550,15480,0
ACOUSTECH BHD(7061.KL),ACOSTEC.KL,D,20170512,0.5850,0.5950,0.5850,0.5900,1648,0
AJINOMOTO (MALAYSIA) BERHAD [S] (2658.KL),AJI.KL,D,20170512,19.8000,19.8000,19.5200,19.7200,248,0
APEX HEALTHCARE BERHAD [S] (7090.KL),AHEALTH.KL,D,20170512,4.7500,4.8200,4.7400,4.7400,108,0
APOLLO FOOD HOLDINGS BERHAD [S] (6432.KL),APOLLO.KL,D,20170512,5.0400,5.0400,4.9900,4.9900,225,0
ASIA BRANDS BERHAD (7722.KL),ASIABRN.KL,D,20170512,0.9250,0.9250,0.9250,0.9250,3,0
ASIA FILE CORPORATION BHD [S] (7129.KL),ASIAFLE.KL,D,20170512,3.2300,3.3500,3.2300,3.3500,493,0
BIOALPHA HOLDINGS BERHAD [S] (0179.KL),BIOHLDG.KL,D,20170512,0.2600,0.2650,0.2600,0.2600,28327,0
BONIA CORPORATION BERHAD [S] (9288.KL),BONIA.KL,D,20170512,0.6700,0.6850,0.6650,0.6750,10182,0
BRITISH AMERICAN TOBACCO (MALAYSIA) BERHAD (4162.KL),BAT.KL,D,20170512,45.9000,46.2000,45.5000,46.2000,3188,0
C.I. HOLDINGS BERHAD (2828.KL),CIHLDG.KL,D,20170512,2.4800,2.4900,2.4600,2.4600,140,0
CAB CAKARAN CORPORATION BERHAD [S] (7174.KL),CAB.KL,D,20170512,3.0900,3.0900,2.9300,2.9400,42521,0
CARLSBERG BREWERY MALAYSIA BERHAD (2836.KL),CARLSBG.KL,D,20170512,14.9000,14.9400,14.8400,14.8600,723,0
CCM DUOPHARMA BIOTECH BERHAD [S] (7148.KL),CCMDBIO.KL,D,20170512,2.3100,2.3100,2.3100,2.3100,154,0
CHINA OUHUA WINERY HOLDINGS LIMITED (5188.KL),CNOUHUA.KL,D,20170512,0.0350,0.0350,0.0350,0.0350,27,0
CHINA STATIONERY LIMITED (5214.KL),CSL.KL,D,20170512,0.0750,0.0750,0.0750,0.0750,2480,0
CLASSIC SCENIC BERHAD [S] (7202.KL),CSCENIC.KL,D,20170512,1.8600,1.8600,1.8600,1.8600,0,0
COCOALAND HOLDINGS BERHAD [S] (7205.KL),COCOLND.KL,D,20170512,2.7400,2.8000,2.7400,2.7400,3953,0
CYCLE & CARRIAGE BINTANG BERHAD [S] (2925.KL),CCB.KL,D,20170512,2.5000,2.5300,2.5000,2.5100,342,0
DEGEM BERHAD [S] (7119.KL),DEGEM.KL,D,20170512,0.9300,0.9300,0.9300,0.9300,0,0
